t,knee
5.98,-37.96102428
5.99,-40.72665989
6,-43.40206171
6.01,-45.94453386
6.02,-48.32603334
6.03,-50.5281272
6.04,-52.5297157
6.05,-54.32682257
6.06,-55.86548132
6.07,-57.21319522
6.08,-58.30173175
6.09,-59.14804105
6.1,-59.74086166
6.11,-60.06901508
6.12,-60.15241452
6.13,-59.98722204
6.14,-59.59558437
6.15,-58.97885872
6.16,-58.14558727
6.17,-57.11473421
6.18,-55.90539383
6.19,-54.51026524
6.2,-52.96147428
6.21,-51.25055906
6.22,-49.38537775
6.23,-47.41279555
6.24,-45.29029352
6.25,-43.07486354
6.26,-40.72899437
6.27,-38.31644539
6.28,-35.78351446
6.29,-33.19178457
6.3,-30.51352766
6.31,-27.78645134
6.32,-25.01182643
6.33,-22.2258244
6.34,-19.46114511
6.35,-16.755948
6.36,-14.1653523
6.37,-11.74864086
6.38,-9.56314478
6.39,-7.64544434
6.4,-6.03053556
6.41,-4.73333221
6.42,-3.74071632
6.43,-3.03520604
6.44,-2.5712525
6.45,-2.30075064
6.46,-2.1630048
6.47,-2.03932505
